,id,uri,Track Name,Artist,Acousticness,Daceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Liked
287,3ZvBA6TQA4CTOZNOyxou90,spotify:track:3ZvBA6TQA4CTOZNOyxou90,Entangled - Ole-Bjørn Talstad Rework,Klur,0.98,0.31,0.0352,0.908,0.0978,-28.139,0.0336,157.343,3,0
288,7hVcd9PDdO0xK8vE3WQqnV,spotify:track:7hVcd9PDdO0xK8vE3WQqnV,Lyrides,Jozef De Schutter,0.994,0.297,0.0126,0.913,0.0785,-27.76,0.0442,171.767,4,0
289,49VzYsJHrITQOn28WBMztb,spotify:track:49VzYsJHrITQOn28WBMztb,Má sestra,Jani Lechleiter,0.995,0.496,0.0317,0.954,0.105,-25.204,0.0479,73.191,4,0
290,4uHzzAb1p6gK5unlp64Vrg,spotify:track:4uHzzAb1p6gK5unlp64Vrg,Amor Eterno,Elisa Avaria,0.994,0.442,0.0719,0.874,0.114,-28.528,0.0346,83.794,3,0
291,5xm1Ot6JDIp5r9SFM6XQrW,spotify:track:5xm1Ot6JDIp5r9SFM6XQrW,Peaceful Thoughts,Listening Wind,0.989,0.377,0.0226,0.941,0.121,-22.748,0.0394,164.635,4,0
292,6axlKJ7OnW6zxM16Hxwbb0,spotify:track:6axlKJ7OnW6zxM16Hxwbb0,Solace,Claire Lerdier,0.994,0.642,0.0202,0.928,0.115,-30.725,0.0424,101.97,3,0
293,5hFkGfx038V0LhqI0Uff2J,spotify:track:5hFkGfx038V0LhqI0Uff2J,Glance Out A Casement Window,Janet Redger,0.992,0.384,0.0189,0.947,0.0967,-31.119,0.0395,62.479,4,0
294,6rvmhiAd5jtT5CzLIcnj4p,spotify:track:6rvmhiAd5jtT5CzLIcnj4p,Nouvelles Tentatives,Zander Shaelyn,0.986,0.405,0.0187,0.924,0.107,-29.086,0.0372,75.78,1,0
295,6eir7TDacjXjFscPxDFHC4,spotify:track:6eir7TDacjXjFscPxDFHC4,The Tree,Ludovico Einaudi,0.994,0.225,0.00332,0.945,0.0936,-38.899,0.0546,67.988,3,0
296,4uoJsS8jQmsHmdoORGzxh0,spotify:track:4uoJsS8jQmsHmdoORGzxh0,Emerald Enlightenment,Aramis Morel,0.996,0.412,0.0289,0.958,0.0895,-32.394,0.0517,151.381,3,0
297,597H3V2av5dnxNcIDa4Yrk,spotify:track:597H3V2av5dnxNcIDa4Yrk,Waitings,Felix Tanguy,0.99,0.344,0.0893,0.927,0.0958,-26.873,0.0354,94.414,3,0
298,02VydYQOYaLGZX2MWoCCQ8,spotify:track:02VydYQOYaLGZX2MWoCCQ8,From Home,Vivian Roost,0.977,0.408,0.0632,0.927,0.175,-24.044,0.0371,126.995,3,0
