,id,uri,Track Name,Artist,Acousticness,Daceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Liked
28,3ebXMykcMXOcLeJ9xZ17XH,spotify:track:3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,Martin Garrix,0.0895,0.584,0.54,0.0,0.261,-7.786,0.0576,137.972,4,1
29,59dLtGBS26x7kc0rHbaPrq,spotify:track:59dLtGBS26x7kc0rHbaPrq,Nothin' on You (feat. Bruno Mars),B.o.B,0.386,0.688,0.853,0.0,0.0862,-5.814,0.0493,103.993,4,1
30,6LsAAHotRLMOHfCsSfYCsz,spotify:track:6LsAAHotRLMOHfCsSfYCsz,If I Can't Have You,Shawn Mendes,0.524,0.692,0.809,0.0,0.147,-4.198,0.0602,123.911,4,1
31,2M2WJ7gBlcKNxdhyfPp9zY,spotify:track:2M2WJ7gBlcKNxdhyfPp9zY,Best of My Love,The Emotions,0.447,0.784,0.713,0.14,0.0904,-6.865,0.0339,115.443,4,1
32,45sDIKapDyxPl307QpEAwl,spotify:track:45sDIKapDyxPl307QpEAwl,Rocketeer,Far East Movement,0.181,0.664,0.845,0.0,0.267,-6.115,0.0461,96.005,4,1
33,22oEJW6r2rMb9z4IntfyEa,spotify:track:22oEJW6r2rMb9z4IntfyEa,"Hey Look Ma, I Made It",Panic! At The Disco,0.0137,0.577,0.833,0.0,0.121,-3.337,0.0695,107.936,4,1
34,4awRNvd5iC7QGVQOwSCffw,spotify:track:4awRNvd5iC7QGVQOwSCffw,Wings,Little Mix,0.000673,0.738,0.875,0.000556,0.285,-3.141,0.127,114.962,4,1
35,2XPc8gL9PwxGURQFcFaDJR,spotify:track:2XPc8gL9PwxGURQFcFaDJR,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,0.146,0.777,0.663,1.52e-05,0.174,-6.117,0.0305,118.016,4,1
36,3ZpQiJ78LKINrW9SQTgbXd,spotify:track:3ZpQiJ78LKINrW9SQTgbXd,All I Wanna Do,Sheryl Crow,0.111,0.82,0.528,0.0186,0.257,-11.179,0.0321,120.091,4,1
37,4djIFfof5TpbSGRZUpsTXq,spotify:track:4djIFfof5TpbSGRZUpsTXq,Talk Too Much,COIN,0.00947,0.598,0.888,0.0,0.347,-5.119,0.0807,103.966,4,1
38,5ftdTvmQjjsL23t7jxADfI,spotify:track:5ftdTvmQjjsL23t7jxADfI,Brazil,Declan McKenna,0.0918,0.689,0.617,2.08e-05,0.0816,-5.196,0.029,121.062,4,1
39,0GO8y8jQk1PkHzS31d699N,spotify:track:0GO8y8jQk1PkHzS31d699N,Tongue Tied,Grouplove,0.00847,0.56,0.936,0.0,0.161,-5.835,0.0439,112.96,4,1
40,48jV8AW50589btXi0Hs5f4,spotify:track:48jV8AW50589btXi0Hs5f4,Lancaster Nights,Charlie Burg,0.179,0.745,0.387,0.00633,0.0736,-12.839,0.0327,95.985,4,1
41,3d8y0t70g7hw2FOWl9Z4Fm,spotify:track:3d8y0t70g7hw2FOWl9Z4Fm,Ophelia,The Lumineers,0.613,0.664,0.573,0.000363,0.0857,-6.519,0.0277,76.023,4,1
42,7e8utCy2JlSB8dRHKi49xM,spotify:track:7e8utCy2JlSB8dRHKi49xM,Fluorescent Adolescent,Arctic Monkeys,0.00178,0.646,0.813,2.26e-05,0.144,-5.29,0.0288,112.115,4,1
43,4gwltSjdrzKtKz9dlk2Wja,spotify:track:4gwltSjdrzKtKz9dlk2Wja,Stella Brown,Jelani Aryeh,0.211,0.724,0.48,0.0772,0.289,-7.537,0.0342,125.007,4,1
44,51Lf3l6wx008NdBxCQnD6B,spotify:track:51Lf3l6wx008NdBxCQnD6B,Ode to a Conversation Stuck in Your Throat,Del Water Gap,0.0598,0.57,0.804,8.96e-05,0.187,-6.782,0.0701,87.533,4,1
45,4gP55KOAwtv0qGuKq4YjLA,spotify:track:4gP55KOAwtv0qGuKq4YjLA,Eyez,The Arcs,0.028,0.478,0.609,0.000539,0.115,-7.495,0.0551,168.088,4,1
46,0TAHhMjG17P5pzlSm1sgSl,spotify:track:0TAHhMjG17P5pzlSm1sgSl,Funky Galileo,Sure Sure,0.164,0.802,0.325,0.162,0.156,-9.327,0.0466,110.995,4,1
47,4S7misxIYuUVypO0NwDwuW,spotify:track:4S7misxIYuUVypO0NwDwuW,Bad Dream Baby,Hippo Campus,0.089,0.654,0.717,0.00148,0.0596,-6.564,0.0416,159.963,4,1
48,63k361zOGEhmvgzBdzzSGP,spotify:track:63k361zOGEhmvgzBdzzSGP,The Sunshine,Manchester Orchestra,0.104,0.512,0.614,0.738,0.252,-14.368,0.0292,168.071,4,1
49,0y5akbuW5mCnnUe71xATpe,spotify:track:0y5akbuW5mCnnUe71xATpe,Concorde,"Black Country, New Road",0.023,0.565,0.284,0.098,0.113,-11.881,0.0286,131.309,3,1
50,3hARuUtzTdUuWH1KiLJlSf,spotify:track:3hARuUtzTdUuWH1KiLJlSf,Window,Still Woozy,0.436,0.714,0.483,2.3e-05,0.28,-9.378,0.195,91.025,4,1
51,3NRql0A1Ef4RCvT473iqgD,spotify:track:3NRql0A1Ef4RCvT473iqgD,Hell N Back,Bakar,0.312,0.584,0.684,9.05e-05,0.112,-4.314,0.567,210.164,4,1
52,1Mp50vmIphq9ui2UUJoX3m,spotify:track:1Mp50vmIphq9ui2UUJoX3m,Driving South,Goth Babe,0.00914,0.565,0.771,0.00024,0.351,-8.222,0.0533,105.993,4,1
53,3273Kpy786sstHxwBMMlnn,spotify:track:3273Kpy786sstHxwBMMlnn,Cadillac,Sun Room,0.0104,0.251,0.782,0.0192,0.16,-5.177,0.0422,97.58,4,1
54,4ezGaFTebqkuextbyQgfjc,spotify:track:4ezGaFTebqkuextbyQgfjc,Beast Of Burden,BabyJake,0.0917,0.758,0.887,0.000174,0.186,-4.656,0.0248,100.004,4,1
55,7a86XRg84qjasly9f6bPSD,spotify:track:7a86XRg84qjasly9f6bPSD,We Are Young (feat. Janelle Monáe),fun.,0.02,0.378,0.638,7.66e-05,0.0849,-5.576,0.075,184.086,4,1
56,6OtoDwuQaH8SfZobDMsWD5,spotify:track:6OtoDwuQaH8SfZobDMsWD5,TVI,Surf Curse,0.00243,0.286,0.945,1.97e-06,0.0997,-4.309,0.0518,184.301,4,1
57,72tFZO4vGmXJvjG62rnpWI,spotify:track:72tFZO4vGmXJvjG62rnpWI,The Other Way,Michigander,0.00479,0.549,0.792,0.0,0.266,-4.163,0.0444,102.394,4,1
58,1WfnPoIGJ4ea2O8JlbGQkp,spotify:track:1WfnPoIGJ4ea2O8JlbGQkp,It's Still Cool If You Don't,Briston Maroney,0.00473,0.597,0.655,5.15e-05,0.607,-6.188,0.0299,121.06,4,1
59,4vjvx7Zxkb4AltGcZ0BBvI,spotify:track:4vjvx7Zxkb4AltGcZ0BBvI,Kyoto,Phoebe Bridgers,0.0467,0.6,0.749,0.295,0.0915,-6.889,0.0419,131.024,4,1
