time heart-rate
125.894 171.919771
126.243 171.919771
126.591 172.413793
126.945 169.491525
127.293 172.413793
127.643 171.428571
127.993 171.428571
128.695667 170.777988
128.344333 170.777988
129.047 170.777988
129.389 175.438596
129.74 170.940171
130.088 172.413793
130.436 172.413793
130.788 170.454545
131.137 171.919771
131.838333 171.102663
131.487667 171.102663
132.189 171.102663
132.537 172.413793
132.8845 172.66187
133.232 172.66187
133.583 170.940171
133.937 169.491525
134.285 172.413793
134.637 170.454545
134.986 171.919771
135.684667 171.755724
135.335333 171.755724
136.034 171.755724
136.382 172.413793
136.731 171.919771
137.077 173.410405
137.427 171.428571
137.7775 171.184023
138.128 171.184023
138.4775 171.67382
138.827 171.67382
139.18 169.971671
139.533 169.971671
139.877 174.418605
140.223 173.410405
140.572 171.919771
140.918 173.410405
141.268 171.428571
141.6165 172.166428
141.965 172.166428
142.663667 171.755724
142.314333 171.755724
143.013 171.755724
143.362 171.919771
143.7065 174.165457
144.051 174.165457
144.401 171.428571
144.717 174
145.097 172
145.447 171.428571
145.7945 172.66187
146.142 172.66187
146.491 171.919771
146.841 171.428571
147.87975 173.2852
147.5335 173.2852
147.5335 173.2852
148.226 173.2852
148.569 174.927114
148.919 171.428571
149.272 169.971671
149.617 173.913043
149.966 171.919771
150.313 172.910663
150.664 170.940171
151.015 170.940171
151.356 175.953079
151.7 174.418605
152.048 172.413793
152.3935 173.66136
152.739 173.66136
153.09 170.940171
153.434 174.418605
153.7805 173.160173
154.127 173.160173
154.477 171.428571
154.827 171.428571
155.17 174.927114
155.515 173.913043
155.858 174.927114
156.201 174.927114
156.547 173.410405
156.892 173.913043
157.237 173.913043
157.586 171.919771
157.932 173.410405
158.278 173.410405
158.6225 174.165457
158.967 174.165457
159.312 173.913043
159.659 172.910663
160.005 173.410405
160.353 172.413793
160.703 171.428571
161.041 177.514793
161.386 173.913043
161.731 173.913043
162.072 175.953079
162.417 173.913043
162.77 169.971671
163.1135 174.672489
163.457 174.672489
163.803 173.410405
164.153 171.428571
164.4975 174.165457
164.842 174.165457
165.188 173.410405
165.533 173.913043
165.875 175.438596
166.224 171.919771
166.573 171.919771
166.9175 174.165457
167.262 174.165457
167.609 172.910663
167.956 172.910663
168.303 172.910663
168.65 172.910663
168.996 173.410405
169.3385 175.182482
169.681 175.182482
170.027 173.410405
170.374 172.910663
170.72 173.410405
171.069 171.919771
171.414 173.913043
171.759 173.913043
172.103 174.418605
172.453 171.428571
173.49 173.410405
173.832 175.438596
174.175 174.927114
174.524 171.919771
174.869 173.913043
175.216 172.910663
175.566 171.428571
175.911 173.913043
176.258 172.910663
176.603 173.913043
176.9515 172.166428
177.3 172.166428
177.648 172.413793
177.996 172.413793
178.344 172.413793
178.685 175.953079
179.373 174.418605
179.029 174.418605
179.717 174.418605
180.064 172.910663
180.41 173.410405
180.755 173.913043
181.1 173.913043
181.448 172.413793
181.793 173.913043
182.142 171.919771
182.488 173.410405
182.836 172.413793
183.184 172.413793
184.211 173.913043
184.557 173.410405
184.903 173.410405
185.252 171.919771
185.597 173.913043
185.942 173.913043
186.289 172.910663
186.637 172.413793
186.9825 173.66136
187.328 173.66136
188.000667 178.394451
187.664333 178.394451
188.337 178.394451
188.704 163.487738
189.048 174.418605
189.396 172.413793
189.744 172.413793
190.0895 173.66136
190.435 173.66136
190.781 173.410405
191.127 173.410405
191.474 172.910663
191.821 172.910663
192.1645 174.672489
192.508 174.672489
192.854 173.410405
193.197 174.927114
193.542 173.913043
193.889 172.910663
194.236 172.910663
194.582 173.410405
194.932 171.428571
195.278 173.410405
195.623 173.913043
196.665 172.910663
197.0075 175.182482
197.35 175.182482
197.699 171.919771
198.042 174.927114
198.389 172.910663
198.741 170.454545
199.084 174.927114
199.43 173.410405
199.774 174.418605
200.123 171.919771
200.466 174.927114
200.817 170.940171
201.166 171.919771
201.511 173.913043
202.532 171.919771
202.881 171.919771
203.229 172.413793
203.574 173.913043
204.264 173.913042
203.919 173.913042
204.609 173.913042
204.953 174.418605
205.298 173.913043
205.622 176
205.986 175
206.329 174.927114
206.672 174.927114
207.017 173.913043
207.364 172.910663
207.7085 174.165457
208.053 174.165457
208.3965 174.672489
208.74 174.672489
209.086 173.410405
209.429 174.927114
210.119 173.913042
209.774 173.913042
210.464 173.913042
210.81 173.410405
211.151 175.953079
211.492 175.953079
211.837 173.913043
212.182 173.913043
212.870667 174.249759
212.526333 174.249759
213.215 174.249759
213.561 173.410405
213.903 175.438596
214.251 172.413793
214.596 173.913043
214.93 179.640719
215.254 172
215.59 178.571429
215.968 171
216.308 176.470588
216.6535 173.66136
216.999 173.66136
217.343 174.418605
217.687 174.418605
218.379 173.410404
218.033 173.410404
218.725 173.410404
219.071 173.410405
219.416 173.913043
220.101333 175.097277
219.758667 175.097277
220.444 175.097277
220.79 173.410405
221.133 174.927114
221.479 173.410405
221.8255 173.160173
222.172 173.160173
223.902 173.41
224.249 172.910663
224.594 173.913043
224.936 175.438596
225.278 175.438596
225.623 173.913043
225.968 173.913043
226.316 172.413793
226.66 174.418605
227.009 171.919771
227.358 171.919771
227.698 176.470588
228.043 173.913043
228.3845 175.695461
228.726 175.695461
229.072 173.410405
229.416 174.418605
229.76 174.418605
230.108 172.413793
230.45 175.438596
230.7935 174.672489
231.137 174.672489
231.483 173.410405
231.827 174.418605
232.174 172.910663
232.517 174.927114
232.859 175.438596
233.202 174.927114
233.542 176.470588
233.884 175.438596
234.23 173.410405
234.572 175.438596
234.914 175.438596
235.946 174.418604
235.602 174.418604
235.602 174.418604
236.29 174.418604
236.635 173.913043
236.983 172.413793
237.324 175.953079
237.665 175.953079
238.0055 176.211454
